"","IGFNS3_aligned.bam"
"ENSRNOG00000066169",0
"ENSRNOG00000070168",0
"ENSRNOG00000070901",925
"ENSRNOG00000018029",8
"ENSRNOG00000031391",0
"ENSRNOG00000055342",0
"ENSRNOG00000068698",92
"ENSRNOG00000067904",0
"ENSRNOG00000063979",0
"ENSRNOG00000064851",6
"ENSRNOG00000063562",0
"ENSRNOG00000050129",0
"ENSRNOG00000056886",0
"ENSRNOG00000032625",130
"ENSRNOG00000029315",73
"ENSRNOG00000016356",2154
"ENSRNOG00000028288",0
"ENSRNOG00000015810",103
"ENSRNOG00000017538",70
"ENSRNOG00000027204",1340
"ENSRNOG00000058651",0
"ENSRNOG00000070886",1031
"ENSRNOG00000056005",0
"ENSRNOG00000035453",1
"ENSRNOG00000063396",0
"ENSRNOG00000068709",3
"ENSRNOG00000069410",0
"ENSRNOG00000014903",202
"ENSRNOG00000055477",0
"ENSRNOG00000066157",0
"ENSRNOG00000059537",0
"ENSRNOG00000064304",0
"ENSRNOG00000035530",0
"ENSRNOG00000021051",1302
"ENSRNOG00000069804",0
"ENSRNOG00000055569",1
"ENSRNOG00000011160",0
"ENSRNOG00000063599",0
"ENSRNOG00000017748",1
"ENSRNOG00000067237",0
"ENSRNOG00000065307",0
"ENSRNOG00000016227",2408
"ENSRNOG00000070826",1
"ENSRNOG00000013395",96
"ENSRNOG00000016906",153
"ENSRNOG00000066860",0
"ENSRNOG00000069365",9
"ENSRNOG00000062499",0
"ENSRNOG00000067821",0
"ENSRNOG00000070448",0
"ENSRNOG00000063062",44
"ENSRNOG00000036303",0
"ENSRNOG00000067171",13
"ENSRNOG00000065290",0
"ENSRNOG00000055366",0
"ENSRNOG00000052293",0
"ENSRNOG00000027582",0
"ENSRNOG00000070096",0
"ENSRNOG00000064522",0
"ENSRNOG00000035532",0
"ENSRNOG00000009830",61
"ENSRNOG00000066257",0
"ENSRNOG00000012742",72
"ENSRNOG00000063184",0
"ENSRNOG00000069837",0
"ENSRNOG00000069135",5
"ENSRNOG00000064137",28
"ENSRNOG00000071210",0
"ENSRNOG00000067491",0
"ENSRNOG00000064435",0
"ENSRNOG00000065990",0
"ENSRNOG00000065939",0
"ENSRNOG00000013767",97
"ENSRNOG00000063387",0
"ENSRNOG00000052521",0
"ENSRNOG00000067619",12
"ENSRNOG00000062791",0
"ENSRNOG00000032699",24
"ENSRNOG00000035616",0
"ENSRNOG00000069698",0
"ENSRNOG00000063324",0
"ENSRNOG00000058041",0
"ENSRNOG00000063227",0
"ENSRNOG00000018408",559
"ENSRNOG00000064960",0
"ENSRNOG00000030782",0
"ENSRNOG00000016421",0
"ENSRNOG00000058299",0
"ENSRNOG00000018334",521
"ENSRNOG00000070685",1
"ENSRNOG00000060004",0
"ENSRNOG00000069399",0
"ENSRNOG00000067907",128
"ENSRNOG00000014726",7
"ENSRNOG00000063196",1
"ENSRNOG00000060273",0
"ENSRNOG00000070216",0
"ENSRNOG00000051969",0
"ENSRNOG00000023407",1354
"ENSRNOG00000035654",0
"ENSRNOG00000061890",0
"ENSRNOG00000010529",967
"ENSRNOG00000012684",298
"ENSRNOG00000069040",0
"ENSRNOG00000014258",1413
"ENSRNOG00000010918",128
"ENSRNOG00000066483",0
"ENSRNOG00000051780",36
"ENSRNOG00000067027",2522
"ENSRNOG00000035560",0
"ENSRNOG00000019416",304
"ENSRNOG00000017366",0
"ENSRNOG00000053012",0
"ENSRNOG00000059864",0
"ENSRNOG00000053838",0
"ENSRNOG00000068567",0
"ENSRNOG00000063945",0
"ENSRNOG00000066101",3
"ENSRNOG00000057261",0
"ENSRNOG00000070161",1
"ENSRNOG00000065242",0
"ENSRNOG00000063217",2
"ENSRNOG00000036631",2
"ENSRNOG00000066494",0
"ENSRNOG00000016659",1
"ENSRNOG00000059820",2
"ENSRNOG00000049846",0
"ENSRNOG00000014946",596
"ENSRNOG00000070965",0
"ENSRNOG00000065570",0
"ENSRNOG00000069390",0
"ENSRNOG00000020318",290
"ENSRNOG00000047406",0
"ENSRNOG00000070104",28
"ENSRNOG00000050445",2499
"ENSRNOG00000069614",0
"ENSRNOG00000069896",1
"ENSRNOG00000035565",0
"ENSRNOG00000031110",0
"ENSRNOG00000058224",0
"ENSRNOG00000067930",4
"ENSRNOG00000016597",51
"ENSRNOG00000064367",0
"ENSRNOG00000064092",0
"ENSRNOG00000067132",0
"ENSRNOG00000068454",0
"ENSRNOG00000018953",0
"ENSRNOG00000069628",11
"ENSRNOG00000062564",106
"ENSRNOG00000065292",2
"ENSRNOG00000018940",6
"ENSRNOG00000068976",8
"ENSRNOG00000013945",235
"ENSRNOG00000068368",0
"ENSRNOG00000070203",0
"ENSRNOG00000065397",9
"ENSRNOG00000040447",0
"ENSRNOG00000033706",0
"ENSRNOG00000031947",4627
"ENSRNOG00000016565",451
"ENSRNOG00000066104",0
"ENSRNOG00000066508",1
"ENSRNOG00000061455",0
"ENSRNOG00000019138",595
"ENSRNOG00000015424",0
"ENSRNOG00000013198",0
"ENSRNOG00000056351",1
"ENSRNOG00000065052",0
"ENSRNOG00000035572",0
"ENSRNOG00000069359",0
"ENSRNOG00000069866",0
"ENSRNOG00000068014",8
"ENSRNOG00000065728",0
"ENSRNOG00000065649",97
"ENSRNOG00000066961",5
"ENSRNOG00000068275",0
"ENSRNOG00000053559",0
"ENSRNOG00000035553",0
"ENSRNOG00000056667",0
"ENSRNOG00000064785",0
"ENSRNOG00000050663",0
"ENSRNOG00000064423",0
"ENSRNOG00000063455",0
"ENSRNOG00000016574",751
"ENSRNOG00000055971",5
"ENSRNOG00000068157",0
"ENSRNOG00000032137",0
"ENSRNOG00000050364",0
"ENSRNOG00000060473",5
"ENSRNOG00000068108",0
"ENSRNOG00000055608",18
"ENSRNOG00000064687",0
"ENSRNOG00000048436",0
"ENSRNOG00000013641",148
"ENSRNOG00000020347",4096
"ENSRNOG00000065259",10
"ENSRNOG00000035588",0
"ENSRNOG00000053464",0
"ENSRNOG00000016837",4
"ENSRNOG00000069139",0
"ENSRNOG00000068222",0
"ENSRNOG00000025953",0
"ENSRNOG00000066571",0
"ENSRNOG00000068350",0
"ENSRNOG00000061525",0
"ENSRNOG00000046704",0
"ENSRNOG00000034083",0
"ENSRNOG00000057516",0
"ENSRNOG00000053512",0
"ENSRNOG00000016608",439
"ENSRNOG00000027112",0
"ENSRNOG00000069192",0
"ENSRNOG00000012730",1069
"ENSRNOG00000068539",5
"ENSRNOG00000052937",0
"ENSRNOG00000018117",681
"ENSRNOG00000049017",0
"ENSRNOG00000051561",0
"ENSRNOG00000067136",0
"ENSRNOG00000063952",0
"ENSRNOG00000068720",0
"ENSRNOG00000016362",0
"ENSRNOG00000056231",0
"ENSRNOG00000063054",0
"ENSRNOG00000013671",0
"ENSRNOG00000017307",1490
"ENSRNOG00000065133",0
"ENSRNOG00000066105",0
"ENSRNOG00000064098",0
"ENSRNOG00000035580",0
"ENSRNOG00000056252",0
"ENSRNOG00000067915",2
"ENSRNOG00000015649",0
"ENSRNOG00000054785",0
"ENSRNOG00000020942",73
"ENSRNOG00000069629",0
"ENSRNOG00000065481",0
"ENSRNOG00000032600",0
"ENSRNOG00000067951",0
"ENSRNOG00000067817",1
"ENSRNOG00000017749",0
"ENSRNOG00000061288",0
"ENSRNOG00000017079",252
"ENSRNOG00000017795",294
"ENSRNOG00000061338",0
"ENSRNOG00000065787",0
"ENSRNOG00000068787",0
"ENSRNOG00000015657",0
"ENSRNOG00000064243",0
"ENSRNOG00000052607",2
"ENSRNOG00000052788",0
"ENSRNOG00000063641",0
"ENSRNOG00000046320",0
"ENSRNOG00000042133",0
"ENSRNOG00000031648",0
"ENSRNOG00000064592",0
"ENSRNOG00000069350",0
"ENSRNOG00000054005",0
"ENSRNOG00000069982",0
"ENSRNOG00000052319",29
"ENSRNOG00000035639",0
"ENSRNOG00000027542",1
"ENSRNOG00000067371",0
"ENSRNOG00000065457",2
"ENSRNOG00000009748",0
"ENSRNOG00000037333",0
"ENSRNOG00000063106",0
"ENSRNOG00000061755",0
"ENSRNOG00000064493",0
"ENSRNOG00000021478",57
"ENSRNOG00000017330",19
"ENSRNOG00000062409",0
"ENSRNOG00000065302",0
"ENSRNOG00000018090",1252
"ENSRNOG00000069157",25
"ENSRNOG00000068228",0
"ENSRNOG00000069767",0
"ENSRNOG00000070519",71
"ENSRNOG00000067269",0
"ENSRNOG00000057952",12
"ENSRNOG00000059329",0
"ENSRNOG00000015230",286
"ENSRNOG00000017069",556
"ENSRNOG00000021013",473
"ENSRNOG00000066830",0
"ENSRNOG00000033009",0
"ENSRNOG00000065333",0
"ENSRNOG00000067419",0
"ENSRNOG00000061678",1
"ENSRNOG00000059948",0
"ENSRNOG00000018677",2643
"ENSRNOG00000057111",0
"ENSRNOG00000069344",0
"ENSRNOG00000070554",26
"ENSRNOG00000054517",0
"ENSRNOG00000063145",0
"ENSRNOG00000069038",0
"ENSRNOG00000056439",0
"ENSRNOG00000069280",0
"ENSRNOG00000066733",0
"ENSRNOG00000064096",0
"ENSRNOG00000019207",28
"ENSRNOG00000018394",3
"ENSRNOG00000015760",0
"ENSRNOG00000070234",68
"ENSRNOG00000053284",0
"ENSRNOG00000068834",0
"ENSRNOG00000030326",0
"ENSRNOG00000063681",0
"ENSRNOG00000065437",0
"ENSRNOG00000063629",67
"ENSRNOG00000049574",0
"ENSRNOG00000016714",6
"ENSRNOG00000052956",0
"ENSRNOG00000070270",1
"ENSRNOG00000068102",0
"ENSRNOG00000035648",0
"ENSRNOG00000067645",3
"ENSRNOG00000062789",0
"ENSRNOG00000015764",0
"ENSRNOG00000067256",0
"ENSRNOG00000015734",891
"ENSRNOG00000067158",0
"ENSRNOG00000056404",0
"ENSRNOG00000063252",0
"ENSRNOG00000066619",0
"ENSRNOG00000052832",0
"ENSRNOG00000056469",0
"ENSRNOG00000068800",359
"ENSRNOG00000066170",0
"ENSRNOG00000066949",0
"ENSRNOG00000062681",14
"ENSRNOG00000067889",0
"ENSRNOG00000066931",0
"ENSRNOG00000066273",0
"ENSRNOG00000066991",0
"ENSRNOG00000069276",500
"ENSRNOG00000059393",0
"ENSRNOG00000015769",0
"ENSRNOG00000013711",0
"ENSRNOG00000062961",0
"ENSRNOG00000069666",0
"ENSRNOG00000056619",0
"ENSRNOG00000054452",1
"ENSRNOG00000051537",0
"ENSRNOG00000064145",73
"ENSRNOG00000057094",0
"ENSRNOG00000068142",0
"ENSRNOG00000055112",0
"ENSRNOG00000062973",0
"ENSRNOG00000062771",0
"ENSRNOG00000027808",3
"ENSRNOG00000033200",0
"ENSRNOG00000060056",0
"ENSRNOG00000055997",0
"ENSRNOG00000070611",1
"ENSRNOG00000069419",0
"ENSRNOG00000063442",0
"ENSRNOG00000069337",0
"ENSRNOG00000049772",441
"ENSRNOG00000053859",460
"ENSRNOG00000066647",1006
"ENSRNOG00000054388",0
"ENSRNOG00000066887",4
"ENSRNOG00000053929",3
"ENSRNOG00000030275",0
"ENSRNOG00000018915",1
"ENSRNOG00000051409",0
"ENSRNOG00000020358",4455
"ENSRNOG00000068758",0
"ENSRNOG00000063955",0
"ENSRNOG00000066355",2
"ENSRNOG00000066028",0
"ENSRNOG00000064903",0
"ENSRNOG00000065819",0
"ENSRNOG00000054102",0
"ENSRNOG00000058869",0
"ENSRNOG00000064667",0
"ENSRNOG00000053502",5419
"ENSRNOG00000065888",0
"ENSRNOG00000021442",346
"ENSRNOG00000064160",0
"ENSRNOG00000015785",0
"ENSRNOG00000068866",0
"ENSRNOG00000066023",128
"ENSRNOG00000014278",512
"ENSRNOG00000049605",28
"ENSRNOG00000024016",0
"ENSRNOG00000055316",0
"ENSRNOG00000063802",0
"ENSRNOG00000057140",0
"ENSRNOG00000022921",5
"ENSRNOG00000054856",0
"ENSRNOG00000037360",22
"ENSRNOG00000015902",9
"ENSRNOG00000065017",0
"ENSRNOG00000020624",2006
"ENSRNOG00000060363",0
"ENSRNOG00000065994",0
"ENSRNOG00000058025",0
"ENSRNOG00000013981",0
"ENSRNOG00000065346",0
"ENSRNOG00000021290",0
"ENSRNOG00000062884",1
"ENSRNOG00000019942",0
"ENSRNOG00000021912",1
"ENSRNOG00000059083",1
"ENSRNOG00000059239",0
"ENSRNOG00000030818",114
"ENSRNOG00000065632",0
"ENSRNOG00000070760",1
"ENSRNOG00000062307",0
"ENSRNOG00000071202",0
"ENSRNOG00000068808",0
"ENSRNOG00000056693",0
"ENSRNOG00000055223",0
"ENSRNOG00000064515",109
"ENSRNOG00000017930",590
"ENSRNOG00000043280",0
"ENSRNOG00000065092",0
"ENSRNOG00000060826",0
"ENSRNOG00000066535",0
"ENSRNOG00000068810",0
"ENSRNOG00000070274",0
"ENSRNOG00000063371",577
"ENSRNOG00000060965",0
"ENSRNOG00000052241",0
"ENSRNOG00000068809",322
"ENSRNOG00000058946",0
"ENSRNOG00000019869",50
"ENSRNOG00000062374",18
"ENSRNOG00000068664",0
"ENSRNOG00000063801",0
"ENSRNOG00000067318",108
"ENSRNOG00000013208",0
"ENSRNOG00000059321",2
"ENSRNOG00000052179",0
"ENSRNOG00000050189",0
"ENSRNOG00000067212",2
"ENSRNOG00000055161",1
"ENSRNOG00000065356",2
"ENSRNOG00000023411",303
"ENSRNOG00000046005",34252
"ENSRNOG00000054718",0
"ENSRNOG00000018686",4256
"ENSRNOG00000063261",102
"ENSRNOG00000068139",0
"ENSRNOG00000066980",0
"ENSRNOG00000070788",1
"ENSRNOG00000066529",1
"ENSRNOG00000058906",9
"ENSRNOG00000066097",0
"ENSRNOG00000069563",44
"ENSRNOG00000062703",5
"ENSRNOG00000070309",34
"ENSRNOG00000048810",0
"ENSRNOG00000053089",15
"ENSRNOG00000057890",0
"ENSRNOG00000052503",0
"ENSRNOG00000017408",461
"ENSRNOG00000037393",0
"ENSRNOG00000021794",374
"ENSRNOG00000069938",9
"ENSRNOG00000070568",0
"ENSRNOG00000013949",4699
"ENSRNOG00000064463",0
"ENSRNOG00000067383",0
"ENSRNOG00000052712",0
"ENSRNOG00000065858",35
"ENSRNOG00000016103",316
"ENSRNOG00000034012",0
"ENSRNOG00000070335",0
"ENSRNOG00000065589",0
"ENSRNOG00000068668",1
"ENSRNOG00000033164",0
"ENSRNOG00000036811",0
"ENSRNOG00000055001",4
"ENSRNOG00000067782",0
"ENSRNOG00000020643",1709
"ENSRNOG00000018217",9
"ENSRNOG00000064778",0
"ENSRNOG00000058615",3
"ENSRNOG00000065642",0
"ENSRNOG00000070200",0
"ENSRNOG00000057923",0
"ENSRNOG00000058790",865
"ENSRNOG00000069125",0
"ENSRNOG00000063149",0
"ENSRNOG00000064646",0
"ENSRNOG00000020371",351
"ENSRNOG00000064021",0
"ENSRNOG00000061803",0
"ENSRNOG00000064115",0
"ENSRNOG00000014996",241
"ENSRNOG00000067296",352
"ENSRNOG00000064765",0
"ENSRNOG00000018742",0
"ENSRNOG00000067148",0
"ENSRNOG00000058967",0
"ENSRNOG00000017914",5914
"ENSRNOG00000071136",0
"ENSRNOG00000061806",0
"ENSRNOG00000014705",305
"ENSRNOG00000016993",0
"ENSRNOG00000055479",0
"ENSRNOG00000029732",0
"ENSRNOG00000063130",0
"ENSRNOG00000057436",0
"ENSRNOG00000070027",1652
"ENSRNOG00000016812",0
"ENSRNOG00000009932",1
"ENSRNOG00000035046",0
"ENSRNOG00000071197",0
"ENSRNOG00000022353",0
"ENSRNOG00000026440",0
"ENSRNOG00000067997",1
"ENSRNOG00000067291",0
"ENSRNOG00000036807",0
"ENSRNOG00000020865",901
"ENSRNOG00000065706",1
"ENSRNOG00000058965",0
"ENSRNOG00000069287",0
"ENSRNOG00000020714",254
"ENSRNOG00000015825",593
"ENSRNOG00000062901",3
"ENSRNOG00000070787",0
"ENSRNOG00000058927",0
"ENSRNOG00000031086",1
"ENSRNOG00000057950",0
"ENSRNOG00000067561",0
"ENSRNOG00000017016",0
"ENSRNOG00000070889",0
"ENSRNOG00000064500",11
"ENSRNOG00000070820",0
"ENSRNOG00000014840",62
"ENSRNOG00000064970",23
"ENSRNOG00000058110",0
"ENSRNOG00000057480",0
"ENSRNOG00000059637",0
"ENSRNOG00000025060",23
"ENSRNOG00000063721",1
"ENSRNOG00000030127",167
"ENSRNOG00000069682",0
"ENSRNOG00000066099",81
"ENSRNOG00000027098",3
"ENSRNOG00000017138",0
"ENSRNOG00000058367",0
"ENSRNOG00000067414",0
"ENSRNOG00000017311",36
"ENSRNOG00000020131",0
"ENSRNOG00000066800",0
"ENSRNOG00000019270",162
"ENSRNOG00000066986",280
"ENSRNOG00000018762",119
"ENSRNOG00000057414",0
"ENSRNOG00000069528",24
"ENSRNOG00000067989",0
"ENSRNOG00000015956",182
"ENSRNOG00000018019",22
"ENSRNOG00000046036",366
"ENSRNOG00000051903",0
"ENSRNOG00000018541",0
"ENSRNOG00000070487",0
"ENSRNOG00000065449",3
