"","LHNS1_aligned.bam"
"ENSRNOG00000066169",1
"ENSRNOG00000070168",0
"ENSRNOG00000070901",813
"ENSRNOG00000018029",7
"ENSRNOG00000031391",0
"ENSRNOG00000055342",0
"ENSRNOG00000068698",107
"ENSRNOG00000067904",0
"ENSRNOG00000063979",0
"ENSRNOG00000064851",6
"ENSRNOG00000063562",0
"ENSRNOG00000050129",0
"ENSRNOG00000056886",0
"ENSRNOG00000032625",101
"ENSRNOG00000029315",52
"ENSRNOG00000016356",2032
"ENSRNOG00000028288",0
"ENSRNOG00000015810",77
"ENSRNOG00000017538",36
"ENSRNOG00000027204",2148
"ENSRNOG00000058651",3
"ENSRNOG00000070886",526
"ENSRNOG00000056005",0
"ENSRNOG00000035453",1
"ENSRNOG00000063396",0
"ENSRNOG00000068709",0
"ENSRNOG00000069410",0
"ENSRNOG00000014903",272
"ENSRNOG00000055477",0
"ENSRNOG00000066157",0
"ENSRNOG00000059537",0
"ENSRNOG00000064304",0
"ENSRNOG00000035530",0
"ENSRNOG00000021051",972
"ENSRNOG00000069804",0
"ENSRNOG00000055569",2
"ENSRNOG00000011160",1
"ENSRNOG00000063599",0
"ENSRNOG00000017748",0
"ENSRNOG00000067237",0
"ENSRNOG00000065307",0
"ENSRNOG00000016227",1245
"ENSRNOG00000070826",0
"ENSRNOG00000013395",54
"ENSRNOG00000016906",153
"ENSRNOG00000066860",1
"ENSRNOG00000069365",11
"ENSRNOG00000062499",0
"ENSRNOG00000067821",0
"ENSRNOG00000070448",0
"ENSRNOG00000063062",45
"ENSRNOG00000036303",0
"ENSRNOG00000067171",10
"ENSRNOG00000065290",0
"ENSRNOG00000055366",1
"ENSRNOG00000052293",0
"ENSRNOG00000027582",0
"ENSRNOG00000070096",0
"ENSRNOG00000064522",0
"ENSRNOG00000035532",0
"ENSRNOG00000009830",59
"ENSRNOG00000066257",0
"ENSRNOG00000012742",87
"ENSRNOG00000063184",0
"ENSRNOG00000069837",0
"ENSRNOG00000069135",3
"ENSRNOG00000064137",24
"ENSRNOG00000071210",0
"ENSRNOG00000067491",0
"ENSRNOG00000064435",0
"ENSRNOG00000065990",0
"ENSRNOG00000065939",0
"ENSRNOG00000013767",68
"ENSRNOG00000063387",0
"ENSRNOG00000052521",0
"ENSRNOG00000067619",11
"ENSRNOG00000062791",0
"ENSRNOG00000032699",21
"ENSRNOG00000035616",0
"ENSRNOG00000069698",0
"ENSRNOG00000063324",1
"ENSRNOG00000058041",0
"ENSRNOG00000063227",0
"ENSRNOG00000018408",573
"ENSRNOG00000064960",0
"ENSRNOG00000030782",0
"ENSRNOG00000016421",0
"ENSRNOG00000058299",0
"ENSRNOG00000018334",373
"ENSRNOG00000070685",0
"ENSRNOG00000060004",0
"ENSRNOG00000069399",0
"ENSRNOG00000067907",83
"ENSRNOG00000014726",4
"ENSRNOG00000063196",0
"ENSRNOG00000060273",0
"ENSRNOG00000070216",0
"ENSRNOG00000051969",0
"ENSRNOG00000023407",967
"ENSRNOG00000035654",0
"ENSRNOG00000061890",0
"ENSRNOG00000010529",235
"ENSRNOG00000012684",148
"ENSRNOG00000069040",0
"ENSRNOG00000014258",898
"ENSRNOG00000010918",132
"ENSRNOG00000066483",0
"ENSRNOG00000051780",23
"ENSRNOG00000067027",1784
"ENSRNOG00000035560",0
"ENSRNOG00000019416",310
"ENSRNOG00000017366",0
"ENSRNOG00000053012",0
"ENSRNOG00000059864",0
"ENSRNOG00000053838",0
"ENSRNOG00000068567",0
"ENSRNOG00000063945",0
"ENSRNOG00000066101",2
"ENSRNOG00000057261",0
"ENSRNOG00000070161",1
"ENSRNOG00000065242",0
"ENSRNOG00000063217",0
"ENSRNOG00000036631",0
"ENSRNOG00000066494",0
"ENSRNOG00000016659",3
"ENSRNOG00000059820",1
"ENSRNOG00000049846",0
"ENSRNOG00000014946",470
"ENSRNOG00000070965",0
"ENSRNOG00000065570",0
"ENSRNOG00000069390",0
"ENSRNOG00000020318",212
"ENSRNOG00000047406",0
"ENSRNOG00000070104",22
"ENSRNOG00000050445",1792
"ENSRNOG00000069614",0
"ENSRNOG00000069896",0
"ENSRNOG00000035565",0
"ENSRNOG00000031110",0
"ENSRNOG00000058224",0
