"","PDGFNS2_aligned.bam"
"ENSRNOG00000066169",1
"ENSRNOG00000070168",0
"ENSRNOG00000070901",1207
"ENSRNOG00000018029",14
"ENSRNOG00000031391",0
"ENSRNOG00000055342",0
"ENSRNOG00000068698",177
"ENSRNOG00000067904",0
"ENSRNOG00000063979",0
"ENSRNOG00000064851",5
"ENSRNOG00000063562",0
"ENSRNOG00000050129",0
"ENSRNOG00000056886",0
"ENSRNOG00000032625",199
"ENSRNOG00000029315",105
"ENSRNOG00000016356",2984
"ENSRNOG00000028288",1
"ENSRNOG00000015810",83
"ENSRNOG00000017538",204
"ENSRNOG00000027204",2919
"ENSRNOG00000058651",3
"ENSRNOG00000070886",1244
"ENSRNOG00000056005",0
"ENSRNOG00000035453",1
"ENSRNOG00000063396",0
"ENSRNOG00000068709",0
"ENSRNOG00000069410",0
"ENSRNOG00000014903",366
"ENSRNOG00000055477",0
"ENSRNOG00000066157",0
"ENSRNOG00000059537",0
"ENSRNOG00000064304",0
"ENSRNOG00000035530",0
"ENSRNOG00000021051",1680
"ENSRNOG00000069804",0
"ENSRNOG00000055569",3
"ENSRNOG00000011160",0
"ENSRNOG00000063599",0
"ENSRNOG00000017748",1
"ENSRNOG00000067237",0
"ENSRNOG00000065307",0
"ENSRNOG00000016227",3719
"ENSRNOG00000070826",0
"ENSRNOG00000013395",111
"ENSRNOG00000016906",160
"ENSRNOG00000066860",2
"ENSRNOG00000069365",5
"ENSRNOG00000062499",0
"ENSRNOG00000067821",0
"ENSRNOG00000070448",0
"ENSRNOG00000063062",90
"ENSRNOG00000036303",0
"ENSRNOG00000067171",15
"ENSRNOG00000065290",0
"ENSRNOG00000055366",0
"ENSRNOG00000052293",0
"ENSRNOG00000027582",0
"ENSRNOG00000070096",0
"ENSRNOG00000064522",0
"ENSRNOG00000035532",0
"ENSRNOG00000009830",53
"ENSRNOG00000066257",0
"ENSRNOG00000012742",76
"ENSRNOG00000063184",0
"ENSRNOG00000069837",0
"ENSRNOG00000069135",7
"ENSRNOG00000064137",46
"ENSRNOG00000071210",0
"ENSRNOG00000067491",0
"ENSRNOG00000064435",0
"ENSRNOG00000065990",0
"ENSRNOG00000065939",0
"ENSRNOG00000013767",75
"ENSRNOG00000063387",0
"ENSRNOG00000052521",0
"ENSRNOG00000067619",38
"ENSRNOG00000062791",0
"ENSRNOG00000032699",26
"ENSRNOG00000035616",0
"ENSRNOG00000069698",0
"ENSRNOG00000063324",0
"ENSRNOG00000058041",0
"ENSRNOG00000063227",0
"ENSRNOG00000018408",508
"ENSRNOG00000064960",0
"ENSRNOG00000030782",1
"ENSRNOG00000016421",0
"ENSRNOG00000058299",0
"ENSRNOG00000018334",353
"ENSRNOG00000070685",1
"ENSRNOG00000060004",0
"ENSRNOG00000069399",0
"ENSRNOG00000067907",204
"ENSRNOG00000014726",1
"ENSRNOG00000063196",0
"ENSRNOG00000060273",0
"ENSRNOG00000070216",0
"ENSRNOG00000051969",0
"ENSRNOG00000023407",1684
"ENSRNOG00000035654",0
"ENSRNOG00000061890",0
"ENSRNOG00000010529",2214
"ENSRNOG00000012684",537
"ENSRNOG00000069040",0
"ENSRNOG00000014258",1242
"ENSRNOG00000010918",226
"ENSRNOG00000066483",0
"ENSRNOG00000051780",37
"ENSRNOG00000067027",2977
"ENSRNOG00000035560",0
"ENSRNOG00000019416",457
"ENSRNOG00000017366",0
"ENSRNOG00000053012",0
"ENSRNOG00000059864",0
"ENSRNOG00000053838",0
"ENSRNOG00000068567",1
"ENSRNOG00000063945",0
"ENSRNOG00000066101",4
"ENSRNOG00000057261",0
"ENSRNOG00000070161",0
"ENSRNOG00000065242",0
"ENSRNOG00000063217",1
"ENSRNOG00000036631",0
"ENSRNOG00000066494",0
"ENSRNOG00000016659",0
"ENSRNOG00000059820",3
"ENSRNOG00000049846",0
"ENSRNOG00000014946",620
"ENSRNOG00000070965",0
"ENSRNOG00000065570",0
"ENSRNOG00000069390",0
"ENSRNOG00000020318",501
"ENSRNOG00000047406",0
"ENSRNOG00000070104",43
"ENSRNOG00000050445",2905
"ENSRNOG00000069614",0
"ENSRNOG00000069896",3
"ENSRNOG00000035565",0
"ENSRNOG00000031110",0
