"","rat_gene_id","rat_gene_symbol","LHNS1","LHNS2","LHNS3","IGFNS1","IGFNS2","IGFNS3","PDGFNS1","PDGFNS2","PDGFNS3"
"1","ENSRNOG00000066169",NA,1,0,1,0,0,0,0,1,1
"2","ENSRNOG00000070168","Or51f23c-ps1",0,0,0,0,0,0,0,0,0
"3","ENSRNOG00000070901","Irgq",813,431,539,1089,537,925,679,1207,966
"4","ENSRNOG00000018029","Doc2g",7,3,0,5,9,8,4,14,8
"5","ENSRNOG00000031391","Ceacam16",0,0,0,0,0,0,0,0,0
"6","ENSRNOG00000055342","LOC120100214",0,0,0,0,0,0,0,0,0
"7","ENSRNOG00000068698",NA,107,95,156,103,46,92,69,177,140
"8","ENSRNOG00000067904","LOC120100281",0,0,0,0,0,0,0,0,0
"9","ENSRNOG00000063979","LOC120100116",0,0,0,0,0,0,0,0,0
"10","ENSRNOG00000064851",NA,6,2,0,4,8,6,6,5,6
"11","ENSRNOG00000063562",NA,0,0,0,0,0,0,0,0,0
"12","ENSRNOG00000050129","AABR07000137.1",0,0,0,0,0,0,0,0,0
"13","ENSRNOG00000056886","Mir291b",0,0,0,0,0,0,0,0,0
"14","ENSRNOG00000032625","Zfp108",101,84,85,161,105,130,110,199,170
"15","ENSRNOG00000029315","LOC690251",52,45,52,93,64,73,68,105,83
"16","ENSRNOG00000016356","Got1",2032,1187,1278,2187,1138,2154,1550,2984,2346
"17","ENSRNOG00000028288","Clrn3",0,0,0,0,0,0,0,1,2
"18","ENSRNOG00000015810","Trip13",77,47,51,60,60,103,38,83,86
"19","ENSRNOG00000017538","Lrrc27",36,32,21,95,66,70,112,204,174
"20","ENSRNOG00000027204","Map6",2148,1190,1643,1493,784,1340,1640,2919,2955
"21","ENSRNOG00000058651","LOC120100452",3,2,1,0,2,0,1,3,4
"22","ENSRNOG00000070886",NA,526,423,588,885,517,1031,633,1244,1083
"23","ENSRNOG00000056005","LOC120100212",0,0,0,0,0,0,0,0,0
"24","ENSRNOG00000035453","Mir3596c",1,0,0,1,1,1,1,1,0
"25","ENSRNOG00000063396","LOC120100238",0,0,0,0,0,0,0,0,0
"26","ENSRNOG00000068709",NA,0,0,1,0,0,3,0,0,1
"27","ENSRNOG00000069410","Or2ag2",0,0,0,0,0,0,0,0,0
"28","ENSRNOG00000014903","Zfyve27",272,170,169,216,106,202,206,366,345
"29","ENSRNOG00000055477","LOC120100189",0,0,0,0,0,0,0,0,0
"30","ENSRNOG00000066157",NA,0,0,0,0,1,0,0,0,0
"31","ENSRNOG00000059537","LOC120100115",0,0,0,0,0,0,0,0,0
